zip,,,,,
94109,,"San Francisco, CA",San Francisco,sfc,1
94112,,"San Francisco, CA",San Francisco,sfc,1
94151,,"San Francisco, CA",San Francisco,sfc,1
94111,,"San Francisco, CA",San Francisco,sfc,1
94110,,"San Francisco, CA",San Francisco,sfc,1
94158,,"San Francisco, CA",San Francisco,sfc,1
94177,,"San Francisco, CA",San Francisco,sfc,1
94172,,"San Francisco, CA",San Francisco,sfc,1
94164,,"San Francisco, CA",San Francisco,sfc,1
94104,,"San Francisco, CA",San Francisco,sfc,1
94102,,"San Francisco, CA",San Francisco,sfc,1
94188,,"San Francisco, CA",San Francisco,sfc,1
94103,,"San Francisco, CA",San Francisco,sfc,1
94107,,"San Francisco, CA",San Francisco,sfc,1
94159,,"San Francisco, CA",San Francisco,sfc,1
94108,,"San Francisco, CA",San Francisco,sfc,1
94105,,"San Francisco, CA",San Francisco,sfc,1
94163,,"San Francisco, CA",San Francisco,sfc,1
94161,,"San Francisco, CA",San Francisco,sfc,1
94160,,"San Francisco, CA",San Francisco,sfc,1
94114,,"San Francisco, CA",San Francisco,sfc,1
94127,,"San Francisco, CA",San Francisco,sfc,1
94145,,"San Francisco, CA",San Francisco,sfc,1
94142,,"San Francisco, CA",San Francisco,sfc,1
94126,,"San Francisco, CA",San Francisco,sfc,1
94124,,"San Francisco, CA",San Francisco,sfc,1
94125,,"San Francisco, CA",San Francisco,sfc,1
94134,,"San Francisco, CA",San Francisco,sfc,1
94133,,"San Francisco, CA",San Francisco,sfc,1
94129,,"San Francisco, CA",San Francisco,sfc,1
94144,,"San Francisco, CA",San Francisco,sfc,1
94143,,"San Francisco, CA",San Francisco,sfc,1
94130,,"San Francisco, CA",San Francisco,sfc,1
94132,,"San Francisco, CA",San Francisco,sfc,1
94128,,"San Francisco, CA",San Mateo,sfc,1
94131,,"San Francisco, CA",San Francisco,sfc,1
94117,,"San Francisco, CA",San Francisco,sfc,1
94139,,"San Francisco, CA",San Francisco,sfc,1
94146,,"San Francisco, CA",San Francisco,sfc,1
94140,,"San Francisco, CA",San Francisco,sfc,1
94115,,"San Francisco, CA",San Francisco,sfc,1
94147,,"San Francisco, CA",San Francisco,sfc,1
94116,,"San Francisco, CA",San Francisco,sfc,1
94137,,"San Francisco, CA",San Francisco,sfc,1
94141,,"San Francisco, CA",San Francisco,sfc,1
94122,,"San Francisco, CA",San Francisco,sfc,1
94123,,"San Francisco, CA",San Francisco,sfc,1
94121,,"San Francisco, CA",San Francisco,sfc,1
94118,,"San Francisco, CA",San Francisco,sfc,1
94119,,"San Francisco, CA",San Francisco,sfc,1
94120,,"San Francisco, CA",San Francisco,sfc,1
94602,,"Oakland, CA",Alameda,oak,1
94659,,"Oakland, CA",Alameda,oak,1
94603,,"Oakland, CA",Alameda,oak,1
94601,,"Oakland, CA",Alameda,oak,1
94613,,"Oakland, CA",Alameda,oak,1
94623,,"Oakland, CA",Alameda,oak,1
94622,,"Oakland, CA",Alameda,oak,1
94610,,"Oakland, CA",Alameda,oak,1
94611,,"Oakland, CA",Alameda,oak,1
94612,,"Oakland, CA",Alameda,oak,1
94621,,"Oakland, CA",Alameda,oak,1
94617,,"Oakland, CA",Alameda,oak,1
94619,,"Oakland, CA",Alameda,oak,1
94618,,"Oakland, CA",Alameda,oak,1
94614,,"Oakland, CA",Alameda,oak,1
94666,,"Oakland, CA",Alameda,oak,1
94615,,"Oakland, CA",Alameda,oak,1
94660,,"Oakland, CA",Alameda,oak,1
94604,,"Oakland, CA",Alameda,oak,1
94606,,"Oakland, CA",Alameda,oak,1
94605,,"Oakland, CA",Alameda,oak,1
94624,,"Oakland, CA",Alameda,oak,1
94661,,"Oakland, CA",Alameda,oak,1
94649,,"Oakland, CA",Alameda,oak,1
