zip,,,,,
94607,,"Oakland, CA",Alameda,oak,1
94609,,"Oakland, CA",Alameda,oak,1
53206,,"Milwaukee, WI",Milwaukee,414,
53233,,"Milwaukee, WI",Milwaukee,414,
53234,,"Milwaukee, WI",Milwaukee,414,
53293,,"Milwaukee, WI",Milwaukee,414,
53207,,"Milwaukee, WI",Milwaukee,414,
53263,,"Milwaukee, WI",Milwaukee,414,
53226,,"Milwaukee, WI",Milwaukee,414,
53225,,"Milwaukee, WI",Milwaukee,414,
53278,,"Milwaukee, WI",Milwaukee,414,
53228,,"Milwaukee, WI",Milwaukee,414,
53227,,"Milwaukee, WI",Milwaukee,414,
53274,,"Milwaukee, WI",Milwaukee,414,
53237,,"Milwaukee, WI",Milwaukee,414,
53201,,"Milwaukee, WI",Milwaukee,414,
53211,,"Milwaukee, WI",Milwaukee,414,
53295,,"Milwaukee, WI",Milwaukee,414,
53212,,"Milwaukee, WI",Milwaukee,414,
53213,,"Milwaukee, WI",Milwaukee,414,
53259,,"Milwaukee, WI",Milwaukee,414,
53202,,"Milwaukee, WI",Milwaukee,414,
53216,,"Milwaukee, WI",Milwaukee,414,
53208,,"Milwaukee, WI",Milwaukee,414,
53209,,"Milwaukee, WI",Milwaukee,414,
53210,,"Milwaukee, WI",Milwaukee,414,
53217,,"Milwaukee, WI",Milwaukee,414,
53288,,"Milwaukee, WI",Milwaukee,414,
53219,,"Milwaukee, WI",Milwaukee,414,
53204,,"Milwaukee, WI",Milwaukee,414,
53222,,"Milwaukee, WI",Milwaukee,414,
53205,,"Milwaukee, WI",Milwaukee,414,
53218,,"Milwaukee, WI",Milwaukee,414,
53215,,"Milwaukee, WI",Milwaukee,414,
53223,,"Milwaukee, WI",Milwaukee,414,
53221,,"Milwaukee, WI",Milwaukee,414,
53224,,"Milwaukee, WI",Milwaukee,414,
53290,,"Milwaukee, WI",Milwaukee,414,
53214,,"Milwaukee, WI",Milwaukee,414,
53203,,"Milwaukee, WI",Milwaukee,414,
53220,,"Milwaukee, WI",Milwaukee,414,
53235,,"Milwaukee , WI",Milwaukee,414,
63169,,"Saint Louis, MO",Saint Louis City,314,
63166,,"Saint Louis, MO",Saint Louis City,314,
63132,,"Saint Louis, MO",Saint Louis,314,
63133,,"Saint Louis, MO",Saint Louis,314,
63167,,"Saint Louis, MO",Saint Louis,314,
63129,,"Saint Louis, MO",Saint Louis,314,
63158,,"Saint Louis, MO",Saint Louis City,314,
63160,,"Saint Louis, MO",Saint Louis City,314,
63164,,"Saint Louis, MO",Saint Louis City,314,
63163,,"Saint Louis, MO",Saint Louis City,314,
63157,,"Saint Louis, MO",Saint Louis City,314,
63156,,"Saint Louis, MO",Saint Louis City,314,
63131,,"Saint Louis, MO",Saint Louis,314,
63130,,"Saint Louis, MO",Saint Louis,314,
63182,,"Saint Louis, MO",Saint Louis City,314,
63180,,"Saint Louis, MO",Saint Louis City,314,
63155,,"Saint Louis, MO",Saint Louis City,314,
63140,,"Saint Louis, MO",Saint Louis,314,
63138,,"Saint Louis, MO",Saint Louis,314,
63139,,"Saint Louis, MO",Saint Louis City,314,
63145,,"Saint Louis, MO",Saint Louis,314,
63151,,"Saint Louis, MO",Saint Louis,314,
63144,,"Saint Louis, MO",Saint Louis,314,
63141,,"Saint Louis, MO",Saint Louis,314,
63143,,"Saint Louis, MO",Saint Louis,314,
63150,,"Saint Louis, MO",Saint Louis City,314,
63146,,"Saint Louis, MO",Saint Louis,314,
63179,,"Saint Louis, MO",Saint Louis City,314,
63178,,"Saint Louis, MO",Saint Louis City,314,
63171,,"Saint Louis, MO",Saint Louis City,314,
63177,,"Saint Louis, MO",Saint Louis City,314,
63137,,"Saint Louis, MO",Saint Louis,314,
63147,,"Saint Louis, MO",Saint Louis City,314,
63136,,"Saint Louis, MO",Saint Louis,314,
63134,,"Saint Louis, MO",Saint Louis,314,
63135,,"Saint Louis, MO",Saint Louis,314,
63113,,"Saint Louis, MO",Saint Louis City,314,
63114,,"Saint Louis, MO",Saint Louis,314,
63197,,"Saint Louis, MO",Saint Louis City,314,
63111,,"Saint Louis, MO",Saint Louis City,314,
63112,,"Saint Louis, MO",Saint Louis City,314,
63117,,"Saint Louis, MO",Saint Louis,314,
63118,,"Saint Louis, MO",Saint Louis City,314,
63116,,"Saint Louis, MO",Saint Louis City,314,
63115,,"Saint Louis, MO",Saint Louis City,314,
63195,,"Saint Louis, MO",Saint Louis City,314,
63110,,"Saint Louis, MO",Saint Louis City,314,
63103,,"Saint Louis, MO",Saint Louis City,314,
63104,,"Saint Louis, MO",Saint Louis City,314,
63102,,"Saint Louis, MO",Saint Louis City,314,
63199,,"Saint Louis, MO",Saint Louis City,314,
63101,,"Saint Louis, MO",Saint Louis City,314,
63108,,"Saint Louis, MO",Saint Louis City,314,
63109,,"Saint Louis, MO",Saint Louis City,314,
63107,,"Saint Louis, MO",Saint Louis City,314,
63105,,"Saint Louis, MO",Saint Louis,314,
63106,,"Saint Louis, MO",Saint Louis City,314,
63125,,"Saint Louis, MO",Saint Louis,314,
63121,,"Saint Louis, MO",Saint Louis,314,
63127,,"Saint Louis, MO",Saint Louis,314,
63126,,"Saint Louis, MO",Saint Louis,314,
63120,,"Saint Louis, MO",Saint Louis City,314,
63119,,"Saint Louis, MO",Saint Louis,314,
63128,,"Saint Louis, MO",Saint Louis,314,
63122,,"Saint Louis, MO",Saint Louis,314,
63188,,"Saint Louis, MO",Saint Louis City,314,
63123,,"Saint Louis, MO",Saint Louis,314,
63124,,"Saint Louis, MO",Saint Louis,314,
80305,,"Boulder, CO",Boulder,boulder,1
80308,,"Boulder, CO",Boulder,boulder,1
80309,,"Boulder, CO",Boulder,boulder,1
80301,,"Boulder, CO",Boulder,boulder,1
80303,,"Boulder, CO",Boulder,boulder,1
80307,,"Boulder, CO",Boulder,boulder,1
80310,,"Boulder, CO",Boulder,boulder,1
80306,,"Boulder, CO",Boulder,boulder,1
80302,,"Boulder, CO",Boulder,boulder,1
98168,,"Boulder, CO",Boulder,boulder,1
98166,,"Boulder, CO",Boulder,boulder,1
98121,,"Seattle, WA",King,seattle,1
98122,,"Seattle, WA",King,seattle,1
98126,,"Seattle, WA",King,seattle,1
98170,,"Seattle, WA",King,seattle,1
98174,,"Seattle, WA",King,seattle,1
98194,,"Seattle, WA",King,seattle,1
98160,,"Seattle, WA",King,seattle,1
98195,,"Seattle, WA",King,seattle,1
98129,,"Seattle, WA",King,seattle,1
98198,,"Seattle, WA",King,seattle,1
98118,,"Seattle, WA",King,seattle,1
98119,,"Seattle, WA",King,seattle,1
98165,,"Seattle, WA",King,seattle,1
98161,,"Seattle, WA",King,seattle,1
98164,,"Seattle, WA",King,seattle,1
98124,,"Seattle, WA",King,seattle,1
98188,,"Seattle, WA",King,seattle,1
98185,,"Seattle, WA",King,seattle,1
98190,,"Seattle, WA",King,seattle,1
98191,,"Seattle, WA",King,seattle,1
98178,,"Seattle, WA",King,seattle,1
98108,,"Seattle, WA",King,seattle,1
98144,,"Seattle, WA",King,seattle,1
98141,,"Seattle, WA",King,seattle,1
98109,,"Seattle, WA",King,seattle,1
98181,,"Seattle, WA",King,seattle,1
98145,,"Seattle, WA",King,seattle,1
98107,,"Seattle, WA",King,seattle,1
98101,,"Seattle, WA",King,seattle,1
98102,,"Seattle, WA",King,seattle,1
98139,,"Seattle, WA",King,seattle,1
98125,,"Seattle, WA",King,seattle,1
98127,,"Seattle, WA",King,seattle,1
98103,,"Seattle, WA",King,seattle,1
98105,,"Seattle, WA",King,seattle,1
98106,,"Seattle, WA",King,seattle,1
98177,,"Seattle, WA",King,seattle,1
98104,,"Seattle, WA",King,seattle,1
98175,,"Seattle, WA",King,seattle,1
98136,,"Seattle, WA",King,seattle,1
98133,,"Seattle, WA",King,seattle,1
98112,,"Seattle, WA",King,seattle,1
98113,,"Seattle, WA",King,seattle,1
98158,,"Seattle, WA",King,seattle,1
98199,,"Seattle, WA",King,seattle,1
98117,,"Seattle, WA",King,seattle,1
98115,,"Seattle, WA",King,seattle,1
98155,,"Seattle, WA",King,seattle,1
98154,,"Seattle, WA",King,seattle,1
98111,,"Seattle, WA",King,seattle,1
98131,,"Seattle, WA",King,seattle,1
98116,,"Seattle, WA",King,seattle,1
98114,,"Seattle, WA",King,seattle,1
98134,,"Seattle, WA",King,seattle,1
98138,,"Seattle, WA",King,seattle,1
98148,,"Seattle, WA",King,seattle,1
98146,,"Seattle, WA",King,seattle,1
98001,,"Seattle, WA",King,seattle,1
98002,,"Seattle, WA",King,seattle,1
60487,,(Worth),,chicago_msa,0
60490,,(Park Forest),,chicago_msa,0
60491,,(Tinley Park),,chicago_msa,0
60501,,(Bolingbrook),,chicago_msa,0
60502,,(Homer Glen),,chicago_msa,0
60503,,(Summit Argo),,chicago_msa,0
60504,,(Aurora),,chicago_msa,0
60505,,(Aurora),,chicago_msa,0
60506,,(Aurora),,chicago_msa,0
60510,,(Aurora),,chicago_msa,0
60511,,(Aurora),,chicago_msa,0
60512,,(Batavia),,chicago_msa,0
60513,,(Big Rock),,chicago_msa,0
60514,,(Bristol),,chicago_msa,0
60515,,(Brookfield),,chicago_msa,0
60516,,(Clarendon Hills),,chicago_msa,0
60517,,(Downers Grove),,chicago_msa,0
60519,,(Downers Grove),,chicago_msa,0
60520,,(Woodridge),,chicago_msa,0
60521,,(Eola),,chicago_msa,0
60523,,(Hinckley),,chicago_msa,0
60525,,(Hinsdale),,chicago_msa,0
60526,,(Oak Brook),,chicago_msa,0
60527,,(La Grange),,chicago_msa,0
60532,,(La Grange Park),,chicago_msa,0
60534,,(Willowbrook),,chicago_msa,0
60536,,(Lisle),,chicago_msa,0
60537,,(Lyons),,chicago_msa,0
60538,,(Millbrook),,chicago_msa,0
60539,,(Millington),,chicago_msa,0
60540,,(Montgomery),,chicago_msa,0
60541,,(Mooseheart),,chicago_msa,0
60542,,(Naperville),,chicago_msa,0
60543,,(Newark),,chicago_msa,0
60544,,(North Aurora),,chicago_msa,0
60545,,(Oswego),,chicago_msa,0
60546,,(Plainfield),,chicago_msa,0
60548,,(Plano),,chicago_msa,0
60550,,(Riverside),,chicago_msa,0
60554,,(Sandwich),,chicago_msa,0
60555,,(Shabbona),,chicago_msa,0
60556,,(Sugar Grove),,chicago_msa,0
60558,,(Warrenville),,chicago_msa,0
60559,,(Waterman),,chicago_msa,0
60560,,(Western Springs),,chicago_msa,0
60561,,(Westmont),,chicago_msa,0
60563,,(Yorkville),,chicago_msa,0
60564,,(Darien),,chicago_msa,0
60565,,(Naperville),,chicago_msa,0
60585,,(Naperville),,chicago_msa,0
60586,,(Naperville),,chicago_msa,0
60706,,(Plainfield),,chicago_msa,0
60707,,(Plainfield),,chicago_msa,0
60712,,(Harwood Heights),,chicago_msa,0
60714,,(Elmwood Park),,chicago_msa,0
60803,,(Lincolnwood),,chicago_msa,0
60804,,(Niles),,chicago_msa,0
60805,,(Alsip),,chicago_msa,0
60827,,(Cicero),,chicago_msa,0
